,Item,Price,url
133,Men's Strapped Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
134,Men's Strapped Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
135,Men's Stylish Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
136,Men Trendy Sandals,"Rs.1,699.00",https://www.servis.pk/collections/men
137,Men's All-day Chappal,"Rs.1,399.00",https://www.servis.pk/collections/men
138,Men's Comfy Chappal,"Rs.2,199.00",https://www.servis.pk/collections/men
139,Men's All day Wear Chappal,"Rs.2,199.00",https://www.servis.pk/collections/men
140,Men's Daily Wear Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
141,Men's Daily Wear Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
142,Men's Everyday Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
143,Men's Everyday Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
144,Men's Everyday Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
145,Men's Breathable Chappal,"Rs.1,899.00",https://www.servis.pk/collections/men
146,Men's Daily Wear Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
147,Men's Formal Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
148,Men's Formal Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
149,Men's Summer Slides,"Rs.1,699.00",https://www.servis.pk/collections/men
150,Men's Summer Slides,"Rs.1,699.00",https://www.servis.pk/collections/men
151,Men's Peshawari Sandals,"Rs.5,499.00",https://www.servis.pk/collections/men
152,Men's Peshawari Sandals,"Rs.5,499.00",https://www.servis.pk/collections/men
153,Peshawari Sandals For Men,"Rs.4,999.00",https://www.servis.pk/collections/men
154,Men's Casual Wear Chappal,"Rs.3,299.00",https://www.servis.pk/collections/men
155,Men's Everday Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
156,Men Formal Shoes,"Rs.8,999.00",https://www.servis.pk/collections/men
157,Men Formal Shoes,"Rs.8,999.00",https://www.servis.pk/collections/men
158,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
159,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
160,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
161,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
162,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
163,Men Formal Shoes,"Rs.14,999.00",https://www.servis.pk/collections/men
164,Men Formal Shoes,"Rs.6,999.00",https://www.servis.pk/collections/men
165,Men Formal Shoes,"Rs.6,999.00",https://www.servis.pk/collections/men
166,Men Slingback Sandals,"Rs.3,499.00",https://www.servis.pk/collections/men
167,Men's Trendy Sandals,"Rs.1,799.00",https://www.servis.pk/collections/men
168,Men's Trendy Sandals,"Rs.1,799.00",https://www.servis.pk/collections/men
169,Men's Peshawari Sandals,"Rs.2,999.00",https://www.servis.pk/collections/men
170,Men's Peshawari Sandals,"Rs.2,999.00",https://www.servis.pk/collections/men
171,Men's Classic Fit Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
172,Men's Classic Fit Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
173,Men's Daily Wear Chappal,"Rs.1,999.00",https://www.servis.pk/collections/men
174,Men's Daily Wear Chappal,"Rs.1,999.00",https://www.servis.pk/collections/men
175,Men's Daily Wear Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
176,Men's Everyday Chappal,"Rs.2,799.00",https://www.servis.pk/collections/men
177,Men's Everyday Chappal,"Rs.2,799.00",https://www.servis.pk/collections/men
178,Men's Relaxed Fit Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
179,Men's Relaxed Fit Chappal,"Rs.2,999.00",https://www.servis.pk/collections/men
180,Men's Casual Wear Chappal,"Rs.1,899.00",https://www.servis.pk/collections/men
181,Men's Breathable Chappal,"Rs.1,899.00",https://www.servis.pk/collections/men
182,Men's Summer Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
183,Men's Formal Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
184,Effortless Men's Chappal,"Rs.1,799.00",https://www.servis.pk/collections/men
185,Men's Longwear Chappal,"Rs.1,499.00",https://www.servis.pk/collections/men
186,Men's Smart Casual Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
187,Men's Smart Casual Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
188,Men's Effortless Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
189,Men's Effortless Chappal,"Rs.4,499.00",https://www.servis.pk/collections/men
190,Men's Strapped Sandals,"Rs.4,499.00",https://www.servis.pk/collections/men
191,Men's Toe Ring Chappal,"Rs.4,299.00",https://www.servis.pk/collections/men
192,Men Moccs,"Rs.8,999.00",https://www.servis.pk/collections/men
193,Men Moccs,"Rs.8,999.00",https://www.servis.pk/collections/men
194,Men Formal Shoes,"Rs.12,999.00",https://www.servis.pk/collections/men
195,Sandals For Men,"Rs.3,999.00",https://www.servis.pk/collections/men
196,Sandals For Men,"Rs.3,999.00",https://www.servis.pk/collections/men
197,Men's Trendy Sandals,"Rs.3,999.00",https://www.servis.pk/collections/men
198,Men's Smart Sandals,"Rs.3,999.00",https://www.servis.pk/collections/men
199,Men's Strapped Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
200,Men's Strapped Chappal,"Rs.3,499.00",https://www.servis.pk/collections/men
201,Men's Basic Slides,"Rs.3,499.00",https://www.servis.pk/collections/men
202,Men's Basic Slides,"Rs.3,499.00",https://www.servis.pk/collections/men
203,M-DC-0200092,"Rs.8,999.00",https://www.servis.pk/collections/men
204,M-DC-0200092,"Rs.8,999.00",https://www.servis.pk/collections/men
205,M-DC-0200091,"Rs.8,999.00",https://www.servis.pk/collections/men
206,M-DC-0200091,"Rs.8,999.00",https://www.servis.pk/collections/men
207,M-DC-0200090,"Rs.6,499.00",https://www.servis.pk/collections/men
208,M-DC-0200090,"Rs.6,499.00",https://www.servis.pk/collections/men
209,M-DC-0200089,"Rs.6,499.00",https://www.servis.pk/collections/men
210,M-DC-0200089,"Rs.6,499.00",https://www.servis.pk/collections/men
211,M-DC-0200087,"Rs.7,499.00",https://www.servis.pk/collections/men
212,M-DC-0200087,"Rs.7,499.00",https://www.servis.pk/collections/men
213,M-DC-0200086,"Rs.6,999.00",https://www.servis.pk/collections/men
214,M-DC-0200086,"Rs.6,999.00",https://www.servis.pk/collections/men
215,M-DC-0200085,"Rs.7,499.00",https://www.servis.pk/collections/men
216,Men's Everyday Sandals,"Rs.4,499.00",https://www.servis.pk/collections/men
217,Men's Everyday Sandals,"Rs.4,499.00",https://www.servis.pk/collections/men
218,Men's Everyday Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
219,Men's Peshawari Sandals,"Rs.2,499.00",https://www.servis.pk/collections/men
220,Men's Peshawari Sandals,"Rs.1,999.00",https://www.servis.pk/collections/men
