2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-07-30 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-08 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-03 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-07-30 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-08 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-03 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-07-30 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-08 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-07-31 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-04 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-08 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-07-31 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-04 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-09 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-07-31 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-04 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-09 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-04 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-07-31 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-09 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-05 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-01 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-09 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-05 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-01 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-10 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-05 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-10 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-05 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-10 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-06 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-10 00:00:00...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - 817.03 seconds...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - Total rows scraped: 0, Lower bound for file: 80, Upper bound for file: 120...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: ERROR - Error - sastaticket.py succeeded but marked failed at 2025-07-23 21:14:10 due to failing the thresho...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: ERROR - Transient failure detected while processing scripts\sastaticket.py: RuntimeError('Defined scraping t...
2025-07-23 16:14:13 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:14:13 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\sastaticket.py
2025-07-23 16:15:53 UTC | DEBUG    | parallel_pipeline | Reading output file from path: data\2025-07-23\servis.csv
2025-07-23 16:15:53 UTC | INFO     | parallel_pipeline | Total rows scraped: 763, Upper bound for file: 938, Lower bound for file: 562
2025-07-23 16:15:54 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\servis.py with status Completed
2025-07-23 16:15:54 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 106
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\servis.py: OUTPUT - Scraping completed in 1129.924745798111 seconds...
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\servis.py: OUTPUT - 1129.92 seconds...
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\servis.py: OUTPUT - Total rows scraped: 763, Lower bound for file: 562, Upper bound for file: 938...
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\servis.py: OUTPUT - servis.py succeeded at 2025-07-23 21:15:53...
2025-07-23 16:15:54 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:15:54 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\servis.py
2025-07-23 16:17:22 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\vegetables&fruits.py with status Failed
2025-07-23 16:17:23 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 107
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\vegetables&fruits.py: OUTPUT - No products found....
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\vegetables&fruits.py: OUTPUT - No data scraped....
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\vegetables&fruits.py: OUTPUT - Time taken: 73.94 seconds...
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\vegetables&fruits.py: ERROR - Exception detected while processing scripts\vegetables&fruits.py: FileNotFoundError('No CSV file fou...
2025-07-23 16:17:23 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:17:23 UTC | INFO     | parallel_pipeline | Completed database operations for scripts\vegetables&fruits.py
2025-07-23 16:29:22 UTC | DEBUG    | parallel_pipeline | Reading output file from path: data\2025-07-23\sastaticket.csv
2025-07-23 16:29:23 UTC | INFO     | parallel_pipeline | Total rows scraped: 0, Upper bound for file: 120, Lower bound for file: 80
2025-07-23 16:29:23 UTC | DEBUG    | parallel_pipeline | Deleting following output file for Failed task: data\2025-07-23\sastaticket.csv
2025-07-23 16:29:24 UTC | INFO     | parallel_pipeline | Starting database insertion for scripts\sastaticket.py with status Failed
2025-07-23 16:29:24 UTC | INFO     | parallel_pipeline | Successfully inserted status into status table with status_id: 105
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-06 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-06 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-06 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-01 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-07-28 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-07 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from ISB to KHI on 2025-08-01 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-07-28 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-07 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to ISB on 2025-08-02 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-07-28 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from LHE to KHI on 2025-08-07 00:00:00...
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Successfully inserted log entry into scraping_logs table
2025-07-23 16:29:24 UTC | DEBUG    | parallel_pipeline | Inserting log entry for scripts\sastaticket.py: OUTPUT - No data for flights from KHI to LHE on 2025-08-02 00:00:00...
